State,Seat ID,Seat Name,Candidate Name,Candidate Party,Votes for Candidate,Total Votes Cast,% of total Votes,Candidate Win,Gender,Status,Pekerjaan
Sabah,N.52,SULABAYAN,ABDUL NASIR BIN AB RAUP,PAS,139,9499,0.0146,0,L,HD,0
Sabah,N.53,SENALLANG,MOHD. SHAFIE APDAL,WARISAN,7754,10207,0.7597,1,L,MNG,0
Sabah,N.53,SENALLANG,DATO SRI NASIR BIN TUN SAKARAN,BN,2453,10207,0.2403,0,L,KLH,PENGERUSI PERBADANAN PEMBANGUNAN EKONOMI SABAH (SEDCO)
Sabah,N.54,BUGAYA,SAID TIBLAN,PPRS,57,13756,0.0041,0,L,HD,0
Sabah,N.54,BUGAYA,KULLI BIN MARALAM,PKS,67,13756,0.0049,0,L,HD,0
Sabah,N.54,BUGAYA,MAHAMOD BIN SARAHIL,PAS,144,13756,0.0105,0,L,HD,BEKERJA SENDIRI
Sabah,N.54,BUGAYA,MANIS BUKA BINTI MOHD DARAH,WARISAN,10662,13756,0.7751,1,P,MNG,SURI RUMAH
Sabah,N.54,BUGAYA,RAZAK SAKARAN DANDAI,BN,2811,13756,0.2043,0,L,KLH,AHLI LEMBAGA PENGARAH LKIM
Sabah,N.54,BUGAYA,ABD. MUKSIN BIN MOHAMMAD HASSAN,BEBAS - TRAKTOR,15,13756,0.0011,0,L,HD,0
Sabah,N.55,BALUNG,RAZALI BIN HAMZAH,HR,233,10380,0.0224,0,L,HD,BERNIAGA SENDIRI
Sabah,N.55,BALUNG,AMBOASE BIN RAMANO,PAS,428,10380,0.0412,0,L,HD,PENIAGA
Sabah,N.55,BALUNG,DATUK OSMAN BIN JAMAL,BN,4887,10380,0.4708,1,L,MNG,0
Sabah,N.55,BALUNG,HAJI ALIPA JACKERY,USNO,119,10380,0.0115,0,L,HD,0
Sabah,N.55,BALUNG,ANDI RUS DIANA BT ANDI PALADJARENG,WARISAN,4713,10380,0.454,0,P,KLH,0
Sabah,N.56,APAS,ABDUL SALIP BIN EJAL,WARISAN,5456,13519,0.4036,0,L,KLH,0
Sabah,N.56,APAS,ALIZAMAN BIN JIJURAHMAN,HR,333,13519,0.0246,0,L,HD,BERNIAGA SENDIRI
Sabah,N.56,APAS,DAUD BIN JALALUDDIN,PAS,487,13519,0.036,0,L,HD,PENIAGA
Sabah,N.56,APAS,NIZAM BIN DATUK ABU BAKAR TITINGAN,BN,7243,13519,0.5358,1,L,MNG,SETIAUSAHA POLITIK
Sabah,N.57,SRI TANJONG,PANG THOU CHUNG,HR,873,18990,0.046,0,L,HD,0
Sabah,N.57,SRI TANJONG,LO SU FUI,BN,4290,18990,0.2259,0,L,KLH,PENIAGA
Sabah,N.57,SRI TANJONG,LEONG YUN FUI,PKS,154,18990,0.0081,0,L,HD,0
Sabah,N.57,SRI TANJONG,WONG SZE PHIN @ JIMMY,DAP,13673,18990,0.72,1,L,MNG,0
Sabah,N.58,MEROTAI,HJ AHMAD DULLAH,PAS,1209,14839,0.0815,0,L,HD,0
Sabah,N.58,MEROTAI,LIM TING KHAI,BN,5557,14839,0.3745,0,L,KLH,0
Sabah,N.58,MEROTAI,SHARATHA MASYAROH BINTI JOHN RIDWAN LINCON,HR,125,14839,0.0084,0,P,HD,PEGUAM
Sabah,N.58,MEROTAI,ARBAANI BIN AKUM,AMANAH,193,14839,0.013,0,L,HD,0
Sabah,N.58,MEROTAI,SARIFUDDIN BIN HATA,WARISAN,7707,14839,0.5194,1,L,MNG,0
